slug,display_name,description,category,output_format,trigger_examples,source_path,github_url,skill_file_url,file_count,byte_size,tree_sha256
aibad-news-skill,aibad-news-skill,"Wandelt AI-Bad-News-Artikel, Blogtexte, Notizen oder URLs in faktenorientierte Instagram-Carousel-Posts im AI-Bad-News Dark-Graffiti-Tech-Stil um. Verwende diesen Skill immer wenn der Nutzer: ""AI Bad News"", ""aibad.news"", ""Bad News Carousel"", ""AI-Bad-News-Post"", ""Blog zu AI Bad News Instagram"", ""Palantir/CIA Carousel"", ""kritische KI-News als Carousel"" oder ""/aibad-news-skill"" sagt. Output: 10 Slide-Bilder im 4:5-Format, Caption mit Schweizer Rechtschreibung, Review vor Posting, optional direkter Post via Instagram MCP mit CTA auf @fragRoger und aibad.news.",Recherche & Analyse,Markdown,"""aibad news skill"", ""Hilfe mit aibad news skill""",skills/aibad-news-skill,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/aibad-news-skill,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/aibad-news-skill/SKILL.md,3,14830,d9e818337b54af7ea1f506b9518291d62f208f7b1566b12ae6ceffd2e36b63ee
aigoodnews-to-instagram,aigoodnews-to-instagram,"Wandelt Blog-Artikel oder Texte in fertige Instagram Carousel-Posts im AiGoodNews CI/CD um. Verwende diesen Skill immer wenn der Nutzer: einen Blog in einen AiGoodNews-Post umwandeln will, ""AiGoodNews Skill"", ""AiGoodNews Carousel"", ""AiGoodNews Post"", ""gute News zu Instagram"" sagt. Output: 10 AI-generierte Slide-Bilder (480×600px) im AiGoodNews Graffiti-TEDx-Design (Grün/Gold/Dunkel) + Caption + direkter Post via Instagram MCP. Das erste Slide (Hook) enthält immer ein AI-generiertes Bild als Hintergrund.",Kommunikation,Markdown,"""aigoodnews to instagram"", ""Hilfe mit aigoodnews to instagram""",skills/aigoodnews-to-instagram,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/aigoodnews-to-instagram,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/aigoodnews-to-instagram/SKILL.md,4,20364,398fbf8886537e4069ad44d84784d24bc37657492725b0f0b3a1a4f0b3019916
automation-and-scheduling,automation-and-scheduling,"MUST read before requests involving automated execution, recurring execution, background execution, event-triggered execution, bot/agent execution, auto-updating systems, or ANY system that integrates with external APIs, synchronizes data, handles webhooks, or requires background processes — even if the primary ask is a website, web app, or bot. Use it to choose the right implementation approach before building.",Produktivität,Markdown,"""automation and scheduling"", ""Hilfe mit automation and scheduling""",skills/automation-and-scheduling,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/automation-and-scheduling,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/automation-and-scheduling/SKILL.md,3,32647,bb4da568b7f448bdf206b0318aa28405f52a3c9cb1154145c79f3073e73ca540
black-blog-to-instagram-carousel,black-blog-to-instagram-carousel,"Wandelt Blog-Artikel, Texte oder URLs in fertige Instagram Carousel-Posts im fragRoger Dark-Cinematic-TED-Talk-Stil um. Verwende diesen Skill immer wenn der Nutzer einen Blog in einen Instagram-Post oder Carousel umwandeln will, z. B. ""repurpose diesen Blog"", ""mach daraus einen Carousel"", ""Blog zu Instagram"", ""Content repurposing"", ""erstelle einen Post aus diesem Artikel"", ""Instagram-Post aus Blog"" oder ""Carousel aus Blogartikel"" sagt. Output: 10 Slide-Bilder im 4:5-Format mit bildstarken Baller-Motiven auf Slide 1-3 und Slide 9, bold-cinematischem Design, Caption und optionalem Instagram-Posting nach Review-Freigabe.",Kommunikation,Markdown,"""black blog to instagram carousel"", ""Hilfe mit black blog to instagram carousel""",skills/black-blog-to-instagram-carousel,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/black-blog-to-instagram-carousel,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/black-blog-to-instagram-carousel/SKILL.md,6,54779,1ca2d0a02594b49446bf192477519710a1f64faefa7b59b884f4e5f0f26d1650
black-blog-to-linkedin-pdf-slideshow,black-blog-to-linkedin-pdf-slideshow,"Wandelt Blog-Artikel, Fachtexte, URLs, Notizen oder Dokumente in professionelle LinkedIn-PDF-Slideshows im fragRoger Black Editorial Stil um. Unterstützt sowohl HTML/WeasyPrint-Rendering als auch direkte Bilderzeugung jeder Slide via GPT Image 2 (gpt-image-2). Verwende diesen Skill immer wenn der Nutzer sagt: „Blog zu LinkedIn“, „LinkedIn PDF“, „LinkedIn Slideshow“, „LinkedIn Carousel als PDF“, „mit GPT Image2 erstellen“, „mit Image2 erstellen“, „Folien mit GPT Image“ oder Inhalte als visuelle LinkedIn-Präsentation aufbereiten will. Output: 10 Slide-Bilder im 4:5-Format (GPT Image 2 oder HTML/PDF), gebündeltes PDF, Blueprint und LinkedIn-Post-Entwurf.",Kommunikation,PDF,"""black blog to linkedin pdf slideshow"", ""Hilfe mit black blog to linkedin pdf slideshow""",skills/black-blog-to-linkedin-pdf-slideshow,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/black-blog-to-linkedin-pdf-slideshow,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/black-blog-to-linkedin-pdf-slideshow/SKILL.md,3,19999,8fb4789f6ec809c3a55e094d4cab1baaba3a177f0afd93df4076eb72c0fdf34d
black-urban-graffiti-tech-slides,black-urban-graffiti-tech-slides,"Design system and workflow for creating presentations in the ""Black Urban Graffiti Tech"" style — pure black backgrounds (#000000), very dark surfaces (#050505), neon accents (Electric Blue #00D4FF, Neon Pink #FF006E, Lime Green #ADFF2F), Montserrat 900 UPPERCASE headlines, and JetBrains Mono labels. Use when the user requests: ""Black Graffiti style slides"", ""pure black neon presentation"", ""dark urban tech design"", ""black-urban-graffiti-tech-slides"", or wants a bold, high-energy visual style with maximum contrast. Also use for AI, tech, marketing, coaching, or solopreneur topics where a bold, high-contrast aesthetic is appropriate.",Kreativ & Design,Markdown,"""black urban graffiti tech slides"", ""Hilfe mit black urban graffiti tech slides""",skills/black-urban-graffiti-tech-slides,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/black-urban-graffiti-tech-slides,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/black-urban-graffiti-tech-slides/SKILL.md,2,27611,ed564bd5b357e4d0f54f3e1b905c64dffdce7f2f26872d7d49a0058abc9f3c7f
blog-to-heygen-vertical-video,blog-to-heygen-vertical-video,"Wandelt Blog-Artikel oder Texte in fertige vertikale (Hochformat) HeyGen-Videos mit dem Avatar Kailyn um. Verwende diesen Skill immer wenn der Nutzer: HeyGen Video, Kailyn Video, vertikales Video aus Blog, Blog zu Video, Video mit Kailyn sagt. Output: Ein generiertes HeyGen-Video im Hochformat (9:16) mit Kailyn als Sprecherin, basierend auf einem Skript, das aus dem Blog-Artikel erstellt wurde.",Kommunikation,Markdown,"""blog to heygen vertical video"", ""Hilfe mit blog to heygen vertical video""",skills/blog-to-heygen-vertical-video,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/blog-to-heygen-vertical-video,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/blog-to-heygen-vertical-video/SKILL.md,1,3495,53fbf3991b445c9c9aefdd66baaa3e6a27d0c53ebf859d47a58dc77327ae365e
builtin-llm-models,builtin-llm-models,"Reference for Manus's built-in LLM catalog and how to call it correctly. Read this BEFORE writing any script that calls LLMs in bulk (summarization, translation, classification, extraction, deep analysis, judging/evaluation, map/parallel fan-out) inside the sandbox, AND before using the built-in LLM in a webdev project (invokeLLM / listLLMModels). Use it to discover which models exist, each model's price/capabilities, how to pick one, the exact request shapes (thinking/reasoning, JSON-schema structured output, vision, tools), and the per-model gotchas (max-token handling, reasoning syntax) verified against the live proxy.",Produktivität,Markdown,"""builtin llm models"", ""Hilfe mit builtin llm models""",skills/builtin-llm-models,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/builtin-llm-models,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/builtin-llm-models/SKILL.md,3,31756,bec61014622b6cd80a8c0f58c7dd34de849a59948937d2b9365f1fe6b614772d
canva-mcp,canva-mcp,"Guide for using the Canva MCP server integration. Use when creating, importing, exporting, or managing designs in the user's Canva account via MCP. Covers recommended workflows, import limits, template constraints, available tools, and critical pitfalls to avoid.",Kommunikation,Markdown,"""canva mcp"", ""Hilfe mit canva mcp""",skills/canva-mcp,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/canva-mcp,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/canva-mcp/SKILL.md,1,6270,acf78c16d78ada8cd27ec4e3ce440bf8c635dc30b6722b72ddb285507c10f26f
content-to-slideshow,content-to-slideshow,"Wandelt beliebige Inhalte (Blog-Artikel, Texte, URLs, Notizen, Dokumente) in fertige Präsentationen (Slideshows) im Urban Graffiti Tech Stil um. Verwende diesen Skill immer wenn der Nutzer: ""mach daraus Slides"", ""erstelle eine Präsentation"", ""Blog zu Slideshow"", ""Content zu Slides"", ""erstelle eine Slideshow aus diesem Artikel/Text/Dokument"", ""repurpose als Präsentation"" sagt. Output: Strukturierte Präsentation (HTML/Image-Slides) mit Problem-Solution-Journey Struktur, exportierbar als PPTX.",Kreativ & Design,Markdown,"""content to slideshow"", ""Hilfe mit content to slideshow""",skills/content-to-slideshow,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/content-to-slideshow,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/content-to-slideshow/SKILL.md,2,8478,c42116b2c05f469fe4b247ed8dbf42e270f6624985a2b8c111151c976f8ed730
